product_id,brand_code,attribute_name,attribute_value,annotated_by,created_at,updated_at
1085510,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084895,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084815,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084911,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1085516,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084875,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084833,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084906,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1085463,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1085511,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1086023,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084809,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084823,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1078204,SA,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084863,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084861,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084900,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084828,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084871,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084818,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1085512,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084856,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084843,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1085509,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1086116,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084842,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084853,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1086014,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084899,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084918,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1086020,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1084832,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1085914,ZQ,CATEGORY,Blouses,HUMAN,2024-05-27,2024-05-27
1093051,ZQ,CATEGORY,Hair Accessories,HUMAN,2024-05-27,2024-05-27
1087765,ZQ,CATEGORY,Hair Accessories,HUMAN,2024-05-27,2024-05-27
1076791,RM,CATEGORY,Body Care,HUMAN,2024-05-27,2024-05-27
1085510,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084895,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084815,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084911,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1085516,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084875,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084833,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084906,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1085463,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1085511,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1086023,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084809,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084823,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1078204,SA,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084863,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084861,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084900,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084828,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084871,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084818,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1085512,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084856,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084843,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1085509,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1086116,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084842,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084853,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1086014,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084899,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084918,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1086020,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1084832,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
1085914,ZQ,SUBCATEGORY,Crop Tops,HUMAN,2024-05-27,2024-05-27
